"democracy_type","model_number","effect_name","control_set","control_variable","interaction","estimate","std_error","p_value","nobs","signif_0_05","signif_0_10"
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",0.79961450967039,3.15484779482756,0.802638293513721,27,FALSE,FALSE
"BMR","M2","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",0.0124302011177726,0.0200210515109653,0.542070954952391,27,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2:urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",0.00633931258937657,0.0445676065084942,0.888387642310143,27,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",1.28314263972115,0.630963880196578,0.0433778207810479,216,TRUE,TRUE
"BMR","M4","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",0.00557756491251934,0.00876388988887195,0.525374128539889,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2:urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",0.000593177546959876,0.0154295139578396,0.96937297277235,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","lhc_MF_25_64","No",1.13135029540948,0.33161137657675,0.00119340543312557,77,TRUE,TRUE
"BMR","M1","lhc_MF_25_64","","lhc_MF_25_64","No",0.00958972272377999,0.0169437140441241,0.573632143003562,77,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","lhc_MF_25_64","No",1.40787172927791,0.275465146969051,7.27834018086113e-07,216,TRUE,TRUE
"BMR","M3","lhc_MF_25_64","","lhc_MF_25_64","No",0.0119227324275744,0.0101281847879574,0.240592233643889,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",1.68381115069962,0.968124886461593,0.107552339076309,20,FALSE,FALSE
"BMR","M2","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",0.00856837552430748,0.0247264669210179,0.734947561845108,20,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",1.25799428378764,0.316362276364377,9.78594771523933e-05,216,TRUE,TRUE
"BMR","M4","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",0.00834028569726543,0.0107958336070997,0.440800504407345,216,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2","","lhc_MF_25_64","Yes",1.34704123276986,0.470724656541045,0.00588386952610813,77,TRUE,TRUE
"BMR","M1","lhc_MF_25_64","","lhc_MF_25_64","Yes",0.0142646347436637,0.0210026264297501,0.499770411676067,77,FALSE,FALSE
"BMR","M1","DC_Mand_Revise2:lhc_MF_25_64","","lhc_MF_25_64","Yes",-0.0150910585602548,0.0269119671790341,0.577161326603156,77,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2","","lhc_MF_25_64","Yes",1.54915436482412,0.36548706755465,3.40078960250741e-05,216,TRUE,TRUE
"BMR","M3","lhc_MF_25_64","","lhc_MF_25_64","Yes",0.0134219339281256,0.0108649227845228,0.218244409088715,216,FALSE,FALSE
"BMR","M3","DC_Mand_Revise2:lhc_MF_25_64","","lhc_MF_25_64","Yes",-0.0109009309406724,0.0219524947502077,0.620033635014439,216,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",9.16378418758168,4.64445858000014,0.0719721059435709,20,FALSE,TRUE
"BMR","M2","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",0.0093582526938087,0.0272491494564859,0.737214888307055,20,FALSE,FALSE
"BMR","M2","DC_Mand_Revise2:lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",-0.362573092675583,0.208702186077587,0.107910835826787,20,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",1.39004696592557,0.44165224062323,0.00190878313059173,216,TRUE,TRUE
"BMR","M4","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",0.00996652444308899,0.0120113364182749,0.40779598169552,216,FALSE,FALSE
"BMR","M4","DC_Mand_Revise2:lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",-0.00926770753502829,0.0228280623676118,0.685215156989047,216,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2","","urbanization","No",1.50819482579457,0.277025136568977,5.69123915247987e-07,113,TRUE,TRUE
"V-Dem","M1","urbanization","","urbanization","No",0.00980727206073876,0.00934663934136452,0.297247201796267,113,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2","","urbanization","No",1.61767434349347,0.270920254925248,7.74358386873974e-09,267,TRUE,TRUE
"V-Dem","M3","urbanization","","urbanization","No",0.00944492463731754,0.00624541126887039,0.131921211184749,267,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",2.55276460258066,0.759144987050094,0.00248728586919531,36,TRUE,TRUE
"V-Dem","M2","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",-1.27254372806439e-05,0.0177727550425175,0.99943439115333,36,FALSE,FALSE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",1.49763340856348,0.296131094807272,8.26942083099821e-07,267,TRUE,TRUE
"V-Dem","M4","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",0.00728038533599166,0.00755756128729243,0.336474999962392,267,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2","","urbanization","Yes",1.970240638504,0.60312020111132,0.00161082107801285,113,TRUE,TRUE
"V-Dem","M1","urbanization","","urbanization","Yes",0.0126245013999228,0.00961471197489941,0.192970771542422,113,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2:urbanization","","urbanization","Yes",-0.0110752074651525,0.0153688709538389,0.473266682008221,113,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2","","urbanization","Yes",1.95301540307495,0.568656200931295,0.000692857361870904,267,TRUE,TRUE
"V-Dem","M3","urbanization","","urbanization","Yes",0.010574348702844,0.00628081239553709,0.0937647602389899,267,FALSE,TRUE
"V-Dem","M3","DC_Mand_Revise2:urbanization","","urbanization","Yes",-0.00830185347502928,0.0143090786976635,0.562303845505928,267,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",6.16039247413927,1.92004885711575,0.00363972677096042,36,TRUE,TRUE
"V-Dem","M2","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",0.0177477131853723,0.0185690253662512,0.348340139865925,36,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2:urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",-0.0632335812736132,0.0304955534442383,0.0485769389045655,36,TRUE,TRUE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",1.7686176953516,0.613626976130761,0.00430447406233006,267,TRUE,TRUE
"V-Dem","M4","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",0.00840582286127677,0.00781680337885332,0.283484845838456,267,FALSE,FALSE
"V-Dem","M4","DC_Mand_Revise2:urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",-0.00643989941980561,0.0147150198761822,0.662031358474435,267,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2","","lhc_MF_25_64","No",1.31270574115873,0.300905871697823,4.86121204689927e-05,89,TRUE,TRUE
"V-Dem","M1","lhc_MF_25_64","","lhc_MF_25_64","No",0.00423985073953458,0.013972558766126,0.762553452753701,89,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2","","lhc_MF_25_64","No",1.52387140835965,0.273609763373633,6.42028269238977e-08,267,TRUE,TRUE
"V-Dem","M3","lhc_MF_25_64","","lhc_MF_25_64","No",0.0111981156443057,0.0070805570619783,0.115252327146429,267,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",2.95534967088478,1.06379591105759,0.0124044444141849,27,TRUE,TRUE
"V-Dem","M2","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",0.000416757862747738,0.01912135387095,0.982850946504502,27,FALSE,FALSE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",1.42532098652832,0.29074336979395,1.70764407034474e-06,267,TRUE,TRUE
"V-Dem","M4","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",0.00777513189564228,0.00819946679863113,0.344123328815904,267,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2","","lhc_MF_25_64","Yes",1.63070494019035,0.442336336491789,0.000475115474357009,89,TRUE,TRUE
"V-Dem","M1","lhc_MF_25_64","","lhc_MF_25_64","Yes",0.0110524207988774,0.0128684474164147,0.393664250448723,89,FALSE,FALSE
"V-Dem","M1","DC_Mand_Revise2:lhc_MF_25_64","","lhc_MF_25_64","Yes",-0.0226036664155995,0.0193741203668229,0.247731403853098,89,FALSE,FALSE
"V-Dem","M3","DC_Mand_Revise2","","lhc_MF_25_64","Yes",1.76739926014843,0.393096560950067,1.04889324850111e-05,267,TRUE,TRUE
"V-Dem","M3","lhc_MF_25_64","","lhc_MF_25_64","Yes",0.0133292041915945,0.00693889290522971,0.0561805067123005,267,FALSE,TRUE
"V-Dem","M3","DC_Mand_Revise2:lhc_MF_25_64","","lhc_MF_25_64","Yes",-0.0188053361614429,0.0183563383569257,0.306608493635726,267,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",6.56386330229507,0.956328788418063,2.01954510872972e-06,27,TRUE,TRUE
"V-Dem","M2","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",0.00150321062620771,0.0177029661742959,0.933267938369374,27,FALSE,FALSE
"V-Dem","M2","DC_Mand_Revise2:lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",-0.219860019799522,0.0596711187998279,0.00169609801312947,27,TRUE,TRUE
"V-Dem","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",1.66449230279355,0.420245209444622,9.79954334227063e-05,267,TRUE,TRUE
"V-Dem","M4","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",0.0102706094239115,0.00815377787742044,0.209377900157106,267,FALSE,FALSE
"V-Dem","M4","DC_Mand_Revise2:lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",-0.0169981722258999,0.0188801130830909,0.36885918483901,267,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2","","urbanization","No",1.32863170783654,0.287481578427209,1.38110986200622e-05,116,TRUE,TRUE
"POLITY","M1","urbanization","","urbanization","No",0.00638084532232062,0.00904091190823139,0.482304625126277,116,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2","","urbanization","No",1.42567110410285,0.260889418134344,1.13581113612704e-07,254,TRUE,TRUE
"POLITY","M3","urbanization","","urbanization","No",0.0078010098946672,0.00667874606063099,0.244121739228363,254,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",2.28735196072602,0.754489243826952,0.00575539885485531,34,TRUE,TRUE
"POLITY","M2","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",-0.00205910812959857,0.0165298644369834,0.901902299736669,34,FALSE,FALSE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",1.36128776450509,0.314601418605678,2.23697768074789e-05,254,TRUE,TRUE
"POLITY","M4","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","No",0.00632333110782341,0.0080828171116584,0.434934758178922,254,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2","","urbanization","Yes",1.56683523782496,0.581895761235969,0.00857392303838707,116,TRUE,TRUE
"POLITY","M1","urbanization","","urbanization","Yes",0.00773523796582951,0.00936699686921667,0.411286637321529,116,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2:urbanization","","urbanization","Yes",-0.00561059682642827,0.0150840108916892,0.710873145645077,116,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2","","urbanization","Yes",1.71860226132296,0.520450228586887,0.00110462462292063,254,TRUE,TRUE
"POLITY","M3","urbanization","","urbanization","Yes",0.00879082029693708,0.00676372121446977,0.195179078834164,254,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2:urbanization","","urbanization","Yes",-0.00720170740697697,0.0141729128025385,0.611822570703089,254,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",5.54763949563297,1.80384628070026,0.00518372330867527,34,TRUE,TRUE
"POLITY","M2","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",0.00378321431042831,0.0167891966760622,0.823625451028225,34,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2:urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",-0.0505341741670547,0.0264756300173645,0.0683293609839038,34,FALSE,TRUE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",1.59708582487854,0.621730464651224,0.0108494550269905,254,TRUE,TRUE
"POLITY","M4","urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",0.00732671899008052,0.00848020540952735,0.388654155437794,254,FALSE,FALSE
"POLITY","M4","DC_Mand_Revise2:urbanization","+debt+partisan_cons+factor(period_dummies72)","urbanization","Yes",-0.00558707604600539,0.0151227199577817,0.712132760355966,254,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2","","lhc_MF_25_64","No",1.14013774067476,0.317952276883044,0.000638345140646641,92,TRUE,TRUE
"POLITY","M1","lhc_MF_25_64","","lhc_MF_25_64","No",0.010914904973226,0.0151465029540934,0.473686743294823,92,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2","","lhc_MF_25_64","No",1.34191411980472,0.269069349348576,1.16122091094213e-06,254,TRUE,TRUE
"POLITY","M3","lhc_MF_25_64","","lhc_MF_25_64","No",0.0120692373800721,0.00866446560186765,0.165049783137371,254,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",2.04347206525493,0.634855219493617,0.00476149643983698,26,TRUE,TRUE
"POLITY","M2","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",0.00299221415367117,0.0208818365992518,0.887650981116471,26,FALSE,FALSE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",1.31018475512988,0.307876214156463,3.01214544087083e-05,254,TRUE,TRUE
"POLITY","M4","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","No",0.0103427375631087,0.0094939194134134,0.277231257902463,254,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2","","lhc_MF_25_64","Yes",1.44793230627923,0.473381362919743,0.00321025863377655,92,TRUE,TRUE
"POLITY","M1","lhc_MF_25_64","","lhc_MF_25_64","Yes",0.0159354367908954,0.0159217399243495,0.320549804244041,92,FALSE,FALSE
"POLITY","M1","DC_Mand_Revise2:lhc_MF_25_64","","lhc_MF_25_64","Yes",-0.0206559701787873,0.0236734418329465,0.386078458790498,92,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2","","lhc_MF_25_64","Yes",1.56835908729152,0.371982089563322,3.50776507269545e-05,254,TRUE,TRUE
"POLITY","M3","lhc_MF_25_64","","lhc_MF_25_64","Yes",0.0137752902252175,0.00882988287343901,0.120220655328989,254,FALSE,FALSE
"POLITY","M3","DC_Mand_Revise2:lhc_MF_25_64","","lhc_MF_25_64","Yes",-0.0168971103871127,0.0201949103376957,0.403597870028774,254,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",6.68226435011183,4.36971861155141,0.143593305023366,26,FALSE,FALSE
"POLITY","M2","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",0.00319591081121252,0.0210798191051642,0.881180866396235,26,FALSE,FALSE
"POLITY","M2","DC_Mand_Revise2:lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",-0.22874752654036,0.210320217218325,0.291114417731796,26,FALSE,FALSE
"POLITY","M4","DC_Mand_Revise2","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",1.58308297291853,0.441384151475763,0.000409182929084006,254,TRUE,TRUE
"POLITY","M4","lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",0.0128528223852453,0.00972750889295483,0.187908083647804,254,FALSE,FALSE
"POLITY","M4","DC_Mand_Revise2:lhc_MF_25_64","+debt+partisan_cons+factor(period_dummies72)","lhc_MF_25_64","Yes",-0.0188175698149947,0.0216740426094926,0.386199532645195,254,FALSE,FALSE
